Designator,Mid X,Mid Y,Layer,Rotation
C1,10.16,13.34,Top,270
C2,14.61,25.4,Top,270
C3,5.08,27.94,Top,90
C4,15.88,25.4,Top,270
C5,17.78,32.38,Top,270
C6,6.35,37.47,Top,180
C7,6.35,36.2,Top,180
C8,16.51,36.2,Top,0
C9,17.14,12.7,Top,90
C10,10.16,41.91,Top,180
C11,16.51,38.73,Top,90
D1,6.35,12.07,Top,180
D2,6.35,14.61,Top,180
L1,6.35,39.37,Top,180
LED1,3.81,53.98,Top,270
LED2,5.71,53.98,Top,270
Q1,10.16,39.37,Top,270
Q2,13.97,38.73,Top,180
R1,12.07,24.13,Top,0
R2,16.51,34.93,Top,0
R3,15.88,46.99,Top,0
R4,8.26,53.98,Top,90
R5,12.07,46.99,Top,180
R6,8.26,50.16,Top,270
R7,3.81,50.16,Top,270
R8,5.71,50.16,Top,90
S1,15.24,18.41,Top,90
U1,10.79,31.12,Top,180
U2,7.62,19.69,Top,180
